"record","cell","area_mean_3"
"Record_2025-04-16_10-38-00",358,45.9130769230769
"Record_2025-04-16_10-38-00",359,46.4696666666667
"Record_2025-04-16_10-38-00",360,46.3692307692308
"Record_2025-04-16_10-38-00",361,45.8751724137931
"Record_2025-04-16_10-38-00",362,46.572
"Record_2025-04-16_10-38-00",363,53.7807692307692
"Record_2025-04-16_10-38-00",364,46.1926666666667
"Record_2025-04-16_10-38-00",365,45.5306666666667
"Record_2025-04-16_10-38-00",366,47.1851724137931
"Record_2025-04-16_10-38-00",367,45.3661538461538
"Record_2025-04-16_10-38-00",368,47.6330769230769
"Record_2025-04-16_10-38-00",369,44.1183333333333
"Record_2025-04-16_10-38-00",370,46.6161538461538
"Record_2025-04-16_10-38-00",371,45.2255172413793
"Record_2025-04-16_10-38-00",372,46.9696153846154
"Record_2025-04-16_10-38-00",373,48.5543333333333
"Record_2025-04-16_10-38-00",374,53.728
"Record_2025-04-16_10-38-00",375,46.6065384615385
"Record_2025-04-16_10-38-00",376,45.4223333333333
"Record_2025-04-16_10-38-00",377,47.9457692307692
"Record_2025-04-16_10-38-00",378,47.4426923076923
"Record_2025-04-16_10-38-00",379,46.4756666666667
"Record_2025-04-16_10-38-00",380,44.6569230769231
"Record_2025-04-16_10-38-00",381,47.3356666666667
"Record_2025-04-16_10-38-00",382,46.9706666666667
"Record_2025-04-16_10-38-00",383,47.1446666666667
"Record_2025-04-16_10-38-00",384,46.9373076923077
"Record_2025-04-16_10-38-00",385,53.8430769230769
"Record_2025-04-16_10-38-00",386,47.007
"Record_2025-04-16_10-38-00",387,45.8746153846154
"Record_2025-04-16_10-38-00",388,47.8873333333333
"Record_2025-04-16_10-38-00",389,45.9913793103448
"Record_2025-04-16_10-38-00",390,47.224
"Record_2025-04-16_10-38-00",391,46.7615384615385
"Record_2025-04-16_10-38-00",392,46.6373076923077
"Record_2025-04-16_10-38-00",393,46.678275862069
"Record_2025-04-16_10-38-00",394,47.625
"Record_2025-04-16_10-38-00",395,46.6476666666667
"Record_2025-04-16_10-38-00",396,51.2388461538462
"Record_2025-04-16_10-38-00",397,47.831
"Record_2025-04-16_10-38-00",398,47.05
"Record_2025-04-16_10-38-00",399,45.7493103448276
"Record_2025-04-16_10-38-00",400,46.4546153846154
"Record_2025-04-16_10-38-00",401,47.024
"Record_2025-04-16_10-38-00",402,46.1672413793103
"Record_2025-04-16_10-38-00",403,47.2996666666667
"Record_2025-04-16_10-38-00",404,46.6516666666667
"Record_2025-04-16_10-38-00",405,45.2530769230769
"Record_2025-04-16_10-38-00",406,48.6876666666667
"Record_2025-04-16_10-38-00",407,50.1923333333333
"Record_2025-04-16_10-38-00",408,49.5396666666667
"Record_2025-04-16_10-38-00",409,46.665
"Record_2025-04-16_10-38-00",410,46.1626923076923
"Record_2025-04-16_10-38-00",411,47.6203846153846
"Record_2025-04-16_10-38-00",412,49.7107692307692
"Record_2025-04-16_10-38-00",413,47.3126923076923
"Record_2025-04-16_10-38-00",414,47.6588461538462
"Record_2025-04-16_10-38-00",415,47.1496551724138
"Record_2025-04-16_10-38-00",416,48.0451724137931
"Record_2025-04-16_10-38-00",417,49.041
"Record_2025-04-16_10-38-00",418,51.3707692307692
"Record_2025-04-16_10-38-00",419,50.5783333333333
"Record_2025-04-16_10-38-00",420,47.852
