"cell","Area","X","Y","Perim.","Major","Minor","Angle","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
293,1.683,0,0,4.775,1.542,1.39,120.521,0.928,1.637,1752,1251,133.698,1.401,1.109,0.902,0.987
294,1.206,0,0,4.143,1.567,0.98,100.836,0.883,1.652,1967,1110,99.162,1.007,1.6,0.625,0.999
295,0,27.648,15.85,0,0.015,0.015,0,0,0,2102,1205,0,0,0,0,NA
296,1.442,0,0,4.793,1.919,0.957,44.198,0.789,2.032,2354,1150,38.428,0.998,2.005,0.499,0.998
297,0,32.765,15.823,0,0.015,0.015,0,0,0,2491,1203,0,0,0,0,NA
298,0,9.049,18.73,0,0.015,0.015,0,0,0,688,1424,0,0,0,0,NA
299,1.399,0,0,4.423,1.603,1.111,47.066,0.898,1.694,878,1397,43.112,1.142,1.443,0.693,0.984
300,0,13.666,18.441,0,0.015,0.015,0,0,0,1039,1402,0,0,0,0,NA
301,0.744,0,0,3.208,1.146,0.826,120.151,0.908,1.219,1182,1322,122.661,0.829,1.387,0.721,1.001
302,2.955,0,0,6.673,2.535,1.484,76.83,0.834,2.753,1401,1369,75.897,1.516,1.707,0.586,0.991
303,0,20.874,18.454,0,0.015,0.015,0,0,0,1587,1403,0,0,0,0,NA
304,1.974,0,0,5.429,2.139,1.175,23.492,0.842,2.193,1578,1513,19.631,1.175,1.821,0.549,0.998
305,1.139,0,0,4.087,1.531,0.947,92.48,0.857,1.626,1956,1435,95.572,0.962,1.617,0.618,0.999
306,1.471,0,0,4.644,1.724,1.086,80.688,0.857,1.838,2150,1390,75.069,1.148,1.587,0.63,0.991
307,1.713,0,0,5.058,1.959,1.114,169.859,0.842,2.084,2344,1446,162.366,1.141,1.759,0.569,1.001
308,0,32.594,18.875,0,0.015,0.015,0,0,0,2478,1435,0,0,0,0,NA
309,0,8.892,21.045,0,0.015,0.015,0,0,0,676,1600,0,0,0,0,NA
310,1.802,0,0,5.6,2.355,0.974,26.646,0.722,2.4,845,1602,27.408,1.042,2.418,0.414,0.983
311,0,13.64,21.151,0,0.015,0.015,0,0,0,1037,1608,0,0,0,0,NA
312,0.923,0,0,3.636,1.377,0.853,152.352,0.877,1.434,1224,1611,146.602,0.894,1.614,0.62,0.997
313,2.001,0,0,5.572,2.188,1.165,133.382,0.81,2.298,1451,1606,136.16,1.198,1.879,0.532,0.986
314,0,20.73,20.914,0,0.015,0.015,0,0,0,1576,1590,0,0,0,0,NA
315,0,23.242,21.085,0,0.015,0.015,0,0,0,1767,1603,0,0,0,0,NA
316,1.143,0,0,4.173,1.67,0.871,23.717,0.825,1.706,1974,1628,17.038,0.873,1.916,0.522,0.993
317,1.037,0,0,4.055,1.638,0.806,35.165,0.793,1.702,2164,1585,36.516,0.822,2.032,0.492,0.999
318,0,30.292,21.335,0,0.015,0.015,0,0,0,2303,1622,0,0,0,0,NA
319,0,32.318,21.466,0,0.015,0.015,0,0,0,2457,1632,0,0,0,0,NA
320,0,8.839,24.044,0,0.015,0.015,0,0,0,672,1828,0,0,0,0,NA
321,0,11.312,23.729,0,0.015,0.015,0,0,0,860,1804,0,0,0,0,NA
322,0,13.469,23.834,0,0.015,0.015,0,0,0,1024,1812,0,0,0,0,NA
323,0,16.31,23.729,0,0.015,0.015,0,0,0,1240,1804,0,0,0,0,NA
324,0,18.52,23.623,0,0.015,0.015,0,0,0,1408,1796,0,0,0,0,NA
325,1.532,0,0,4.662,1.708,1.142,102.338,0.886,1.842,1627,1599,99.866,1.213,1.496,0.668,1
326,1.304,0,0,4.407,1.697,0.978,20.441,0.843,1.836,1794,1760,25.463,1.018,1.735,0.577,0.999
327,1.434,0,0,4.568,1.777,1.028,35.173,0.864,1.857,1810,1909,34.028,1.059,1.73,0.578,1.001
328,1.821,0,0,5.183,1.984,1.169,33.595,0.852,2.135,2168,1805,32.417,1.195,1.697,0.589,1
329,0.797,0,0,3.457,1.375,0.738,32.049,0.838,1.433,2318,1779,30.332,0.733,1.863,0.537,0.999
330,0,32.502,23.9,0,0.015,0.015,0,0,0,2471,1817,0,0,0,0,NA
331,0,9.102,26.162,0,0.015,0.015,0,0,0,692,1989,0,0,0,0,NA
332,2.141,0,0,5.359,1.754,1.554,126.916,0.937,1.893,759,1834,120.486,1.578,1.128,0.886,0.994
333,0,13.666,26.294,0,0.015,0.015,0,0,0,1039,1999,0,0,0,0,NA
