"","id","cell","tray","row","col","si","site","individual","d9","d13","family","where","time_to_one","time_to_two","time_to_three","time_to_four","time_to_four_adj","fustat","day_sum","dead_count","experiment"
"168","5056",313,"2","9","5","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"169","5057",314,"2","9","6","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"170","5058",315,"2","9","7","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"171","5059",316,"2","9","8","S14I2","14","2","5","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,3,0,20250922
"172","5060",317,"2","9","9","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"173","5061",318,"2","9","10","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"174","5062",321,"2","10","2","S1I8","1","8","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"175","5065",324,"2","10","5","S15I5","15","5","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"176","5066",325,"2","10","6","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"177","5070",329,"2","10","10","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"178","5071",332,"2","11","2","S13I1","13","1","5","5","hw127","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"179","5072",333,"2","11","3","S1I2","1","2","5","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,3,0,20250922
"180","5073",334,"2","11","4","S14I1","14","1","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"181","5074",335,"2","11","5","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"182","5075",336,"2","11","6","S14I3","14","3","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"183","5076",337,"2","11","7","S14I4","14","4","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"184","5077",338,"2","11","8","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"185","5078",339,"2","11","9","S13I2","13","2","5","5","hw127","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"186","5079",340,"2","11","10","S15I2","15","2","5","0","hw190 east","DV",NA,NA,NA,NA,NA,0,3,0,20250922
"187","5080",343,"2","12","2","S14I3","14","3","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"188","5081",344,"2","12","3","S15I2","15","2","0","5","hw190 east","DV",NA,NA,NA,NA,NA,0,4,0,20250922
"189","5084",347,"2","12","6","S1I8","1","8","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"190","5086",349,"2","12","8","S14I2","14","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"191","5088",351,"2","12","10","S1I5","1","5","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"192","5089",354,"2","13","2","S1I2","1","2","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"193","5092",357,"2","13","5","S14I1","14","1","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"194","5094",359,"2","13","7","S1I4","1","4","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"195","5095",360,"2","13","8","S1I8","1","8","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"196","5096",361,"2","13","9","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"197","5098",365,"2","14","2","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"198","5099",366,"2","14","3","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"199","5100",367,"2","14","4","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"200","5101",368,"2","14","5","S14I1","14","1","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"201","5103",370,"2","14","7","S14I3","14","3","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"202","5104",371,"2","14","8","S13I1","13","1","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"203","5105",372,"2","14","9","S15I5","15","5","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"204","5107",376,"2","15","2","S15I2","15","2","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"205","5110",379,"2","15","5","S15I2","15","2","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
